link,text,user,likes,retweets,comments
https://twitter.com/elonmusk/status/1853614981624840695#m,Worth listening to this @JoeRogan episode before end of voting tomorrow,Elon Musk,123595,23753,5487
https://twitter.com/elonmusk/status/1853691543007137814#m,"Below are the R minus D early vote deltas in swing states before tomorrow.   Republican turnout on election day is usually much higher than Democrat, so any state currently leaning R in early voting is very likely to side with Trump.  Pennsylvania, while still leaning D, has a massive turnout on Election Day. If the same number vote in person for Trump this time vs last, he will win by ~500k votes (landslide).",Elon Musk,27582,3947,2604
https://twitter.com/beeple/status/1853663190749425888#m,LAST PUSH,beeple,16609,1848,1167
https://twitter.com/elonmusk/status/1853688868572156328#m,This platform is the top source of news on Earth!,Elon Musk,20997,2366,2245
https://twitter.com/america/status/1853613826639536503#m,"ELON MUSK: “Go out there and vote... for Peanut… How can it be that we live in America, supposedly land of the free and the government can barge into your home with guns?”",America,9340,1744,503
https://twitter.com/elonmusk/status/1853688289036783673#m,"Congratulations, Joshua of Arizona!",Elon Musk,19351,1897,1160
https://twitter.com/TrumpWarRoom/status/1853682231031517471#m,"PRESIDENT TRUMP: ""To every citizen across this land, I am asking for the honor of your vote... As your president, I will fight for you every single day with every breath in my body. Together, we will save this great country that we love, we will defeat the corrupt system in Washington.""",Trump War Room,9997,1855,634
https://twitter.com/AutismCapital/status/1853685159947874499#m,"We've uploaded all of the Joe Rogan x Elon Musk clips.   Fantastic interview. Fun and real.   Elon's biggest takeaway is that MEN need to vote. If Kamala wins, swing states may be lost forever, and there goes democracy.  Tomorrow we will VOTE VOTE VOTE and we will WIN WIN WIN! 🇺🇸",Autism Capital 🧩,5280,765,370
https://twitter.com/elonmusk/status/1853685052367855617#m,Great speech by @MegynKelly!,Elon Musk,26082,4378,1346
https://twitter.com/elonmusk/status/1853679967646683592#m,Vote to preserve democracy!,Elon Musk,42200,6523,2385
